id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,attack_category,severity,timestamp,data_source,is_synthetic
NET-001654,95.86,UDP,dns,S0,68125,4529,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,42,22,0.0499,0.0812,0.0564,0.0217,0.7695,0.1645,0.0652,123,92,0.7655,0.297,0.6493,0.2197,0.0239,0.0628,0.0296,0.0767,land,dos,high,2026-08-08T17:39:30.017407+00:00,synthetic_network_traffic,True
NET-000136,43.71,UDP,ssh,S2,37384,28620,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,62,94,0.0749,0.0615,0.0526,0.0779,0.7436,0.0079,0.1284,126,2,0.7715,0.1431,0.9783,0.268,0.0057,0.0053,0.0927,0.0256,normal,normal,none,2026-08-08T17:39:29.959397+00:00,synthetic_network_traffic,True
NET-000998,224.38,TCP,dns,SF,409,13339,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,69,10,0.0315,0.0316,0.0776,0.086,0.9316,0.1641,0.2825,170,195,0.8215,0.1925,0.8495,0.1732,0.0209,0.002,0.0836,0.0405,normal,normal,none,2026-08-08T17:39:29.987404+00:00,synthetic_network_traffic,True
NET-001680,27.59,ICMP,http,S0,7178,9788,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,12,36,0.0322,0.0913,0.0147,0.0688,0.7539,0.0414,0.0957,155,87,0.7494,0.0388,0.7215,0.1463,0.0759,0.0624,0.0471,0.036,back,dos,high,2026-08-08T17:39:30.018406+00:00,synthetic_network_traffic,True
NET-001932,70.34,ICMP,imap,RSTO,95829,144,0,0,0,12,0,1,0,1,0,0,10,1,1,0,0,0,2,42,0.008,0.081,0.0648,0.0148,0.8918,0.2171,0.1288,136,68,0.7906,0.0136,0.8844,0.1853,0.027,0.065,0.0903,0.0756,perl,u2r,high,2026-08-08T17:39:30.032406+00:00,synthetic_network_traffic,True
NET-000575,113.42,TCP,ssh,SF,13290,31178,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,10,15,0.0585,0.0202,0.0609,0.0492,0.9231,0.0649,0.2468,229,133,0.8676,0.2636,0.5735,0.2416,0.0254,0.0379,0.003,0.0627,normal,normal,none,2026-08-08T17:39:29.974396+00:00,synthetic_network_traffic,True
NET-000566,113.95,UDP,ssh,SF,36098,38027,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,12,92,0.0588,0.0428,0.0291,0.0966,0.7814,0.0189,0.1,115,171,0.7231,0.2995,0.8946,0.0615,0.0207,0.0298,0.0356,0.0874,normal,normal,none,2026-08-08T17:39:29.974396+00:00,synthetic_network_traffic,True
NET-001765,60.24,ICMP,imap,S0,72676,10315,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,14,45,0.0877,0.0982,0.09,0.0146,0.7039,0.0135,0.1989,244,220,0.9564,0.2289,0.9912,0.2636,0.0334,0.0511,0.094,0.0978,processtable,dos,high,2026-08-08T17:39:30.023399+00:00,synthetic_network_traffic,True
NET-000868,111.17,HTTPS,http,SF,40916,5609,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,77,71,0.0968,0.0437,0.0045,0.0628,0.9671,0.0396,0.1905,162,104,0.8715,0.0814,0.7999,0.1982,0.0017,0.0605,0.0258,0.0216,normal,normal,none,2026-08-08T17:39:29.984404+00:00,synthetic_network_traffic,True
NET-000009,175.68,HTTP,smtp,SF,49243,29321,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,38,77,0.0448,0.0879,0.0029,0.0089,0.8828,0.242,0.0036,205,253,0.8641,0.046,0.6315,0.0758,0.0304,0.0806,0.057,0.0868,normal,normal,none,2026-08-08T17:39:29.953405+00:00,synthetic_network_traffic,True
NET-000926,90.4,HTTPS,dns,S1,47829,29110,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,45,48,0.0277,0.0895,0.0965,0.0512,0.8944,0.2459,0.2329,38,150,0.7263,0.033,0.6796,0.0272,0.0428,0.0313,0.0231,0.0561,normal,normal,none,2026-08-08T17:39:29.985404+00:00,synthetic_network_traffic,True
NET-001000,57.01,HTTPS,mysql,SF,36963,46552,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,18,0.0789,0.0741,0.0065,0.0701,0.7713,0.133,0.2779,36,252,0.8769,0.095,0.7709,0.0308,0.0205,0.0093,0.0168,0.0151,normal,normal,none,2026-08-08T17:39:29.987404+00:00,synthetic_network_traffic,True
NET-000675,9.22,UDP,mysql,SF,12665,37992,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,35,27,0.0211,0.0538,0.0176,0.0288,0.7448,0.2259,0.0866,54,145,0.8859,0.1148,0.6905,0.0372,0.0164,0.051,0.0492,0.0677,normal,normal,none,2026-08-08T17:39:29.978405+00:00,synthetic_network_traffic,True
NET-001258,65.77,UDP,pop3,RSTR,443461,140,0,0,0,15,0,1,0,1,0,0,8,4,1,0,0,0,40,2,0.0474,0.0999,0.0902,0.0328,0.7529,0.0012,0.2962,31,114,0.8166,0.0435,0.7246,0.144,0.0898,0.0511,0.0955,0.0391,perl,u2r,high,2026-08-08T17:39:29.999404+00:00,synthetic_network_traffic,True
NET-000271,185.24,TCP,smtp,S2,13554,31054,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,84,78,0.0775,0.0738,0.0226,0.0978,0.9981,0.2197,0.1966,30,231,0.9398,0.2619,0.8941,0.1507,0.0556,0.0918,0.0596,0.0767,normal,normal,none,2026-08-08T17:39:29.964396+00:00,synthetic_network_traffic,True
NET-000372,19.35,HTTP,ssh,SF,4547,33401,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,92,2,0.0696,0.0111,0.0624,0.0355,0.9334,0.0473,0.1166,253,167,0.867,0.0669,0.5128,0.1136,0.0315,0.0084,0.0092,0.0698,normal,normal,none,2026-08-08T17:39:29.967396+00:00,synthetic_network_traffic,True
NET-001706,22.95,UDP,http,S0,91858,92715,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,27,7,0.0414,0.0873,0.0641,0.0245,0.75,0.2721,0.0035,176,74,0.9634,0.1041,0.8773,0.0507,0.0442,0.0533,0.0387,0.0596,processtable,dos,high,2026-08-08T17:39:30.020406+00:00,synthetic_network_traffic,True
